ProductName,Vendor,ClassType,CommonCode,BeverageType,Size,VendorNumber,ClassID,ClassTypeName,ClassTypeNo,Brand,CommonCodeName,CommonCodeNo,Listed_NonListed,PackSize,PackSizeInd,Bottles
LORD CALVERT - CANDN BTL U S - 1.75 LTR,LUXCO INC  ( 4294 ),CANDN BTL U S  ( 1230 ),LORD CALVERT  ( 151900 ),Spirit,1.75 LTR,4294,Whiskey,CANDN BTL U S,1230,LORD CALVERT,LORD CALVERT,151900,Listed,6,Actual,1613
LORD CALVERT - CANDN BTL U S - 375 ML,LUXCO INC  ( 4294 ),CANDN BTL U S  ( 1230 ),LORD CALVERT  ( 151900 ),Spirit,375 ML,4294,Whiskey,CANDN BTL U S,1230,LORD CALVERT,LORD CALVERT,151900,Listed,24,Actual,2951
LORD CALVERT - CANDN BTL U S - 375 ML,LUXCO INC  ( 4294 ),CANDN BTL U S  ( 1230 ),LORD CALVERT  ( 151900 ),Spirit,375 ML,4294,Whiskey,CANDN BTL U S,1230,LORD CALVERT,LORD CALVERT,151900,Listed,24,Actual,3280
LORD CALVERT - CANDN BTL U S - 750 ML,LUXCO INC  ( 4294 ),CANDN BTL U S  ( 1230 ),LORD CALVERT  ( 151900 ),Spirit,750 ML,4294,Whiskey,CANDN BTL U S,1230,LORD CALVERT,LORD CALVERT,151900,Listed,12,Actual,1978
LORD CALVERT - CANDN BTL U S - 750 ML,LUXCO INC  ( 4294 ),CANDN BTL U S  ( 1230 ),LORD CALVERT  ( 151900 ),Spirit,750 ML,4294,Whiskey,CANDN BTL U S,1230,LORD CALVERT,LORD CALVERT,151900,Listed,12,Actual,2412
LOT NO.40 CANADIAN RYE WHISKEY - CANDN BTL CAN - 750 ML,PERNOD RCRD USA  ( 5903 ),CANDN BTL CAN  ( 1220 ),LOT NO. 40  ( 913900 ),Spirit,750 ML,5903,Whiskey,CANDN BTL CAN,1220,LOT NO.40 CANADIAN RYE WHISKEY,LOT NO. 40,913900,Listed,6,Actual,12
LOT NO.40 CANADIAN RYE WHISKEY - CANDN BTL CAN - 750 ML,PERNOD RCRD USA  ( 5903 ),CANDN BTL CAN  ( 1220 ),LOT NO. 40  ( 913900 ),Spirit,750 ML,5903,Whiskey,CANDN BTL CAN,1220,LOT NO.40 CANADIAN RYE WHISKEY,LOT NO. 40,913900,Listed,6,Actual,13
LUCID ABSINTHE SUPERIEURE - IM OTH SPCLTS - 750 ML,HOOD RIVER DIST  ( 3370 ),IM OTH SPCLTS  ( 7215 ),LUCID ABSINTHE  ( 1119400 ),Spirit,750 ML,3370,Cordials,IM OTH SPCLTS,7215,LUCID ABSINTHE SUPERIEURE,LUCID ABSINTHE,1119400,Listed,6,Actual,94
LUCID ABSINTHE SUPERIEURE - IM OTH SPCLTS - 750 ML,HOOD RIVER DIST  ( 3370 ),IM OTH SPCLTS  ( 7215 ),LUCID ABSINTHE  ( 1119400 ),Spirit,750 ML,3370,Cordials,IM OTH SPCLTS,7215,LUCID ABSINTHE SUPERIEURE,LUCID ABSINTHE,1119400,Listed,6,Actual,113
LUCKY PLAYER KING CAKE FLAVORED VODKA - VODKA IMPORTD - 750 ML,MHW LIMITED  ( 4715 ),VODKA IMPORTD  ( 3200 ),LCKY PL KN CK VK  ( 1179463 ),Spirit,750 ML,4715,Vodka,VODKA IMPORTD,3200,LUCKY PLAYER KING CAKE FLAVORED VODKA,LCKY PL KN CK VK,1179463,Non-Listed,6,Actual,2
LUCKY PLAYER KING CAKE FLAVORED VODKA - VODKA IMPORTD - 750 ML,MHW LIMITED  ( 4715 ),VODKA IMPORTD  ( 3200 ),LCKY PL KN CK VK  ( 1179463 ),Spirit,750 ML,4715,Vodka,VODKA IMPORTD,3200,LUCKY PLAYER KING CAKE FLAVORED VODKA,LCKY PL KN CK VK,1179463,Non-Listed,6,Actual,21
LUKSUSOWA POTATO - VODKA IMPORTD - 1.75 LTR,DEUTSCH FAM W&S  ( 1958 ),VODKA IMPORTD  ( 3200 ),POLMOS LKS VK 80  ( 269802 ),Spirit,1.75 LTR,1958,Vodka,VODKA IMPORTD,3200,LUKSUSOWA POTATO,POLMOS LKS VK 80,269802,Non-Listed,6,Actual,2
LUKSUSOWA POTATO - VODKA IMPORTD - 1.75 LTR,DEUTSCH FAM W&S  ( 1958 ),VODKA IMPORTD  ( 3200 ),POLMOS LKS VK 80  ( 269802 ),Spirit,1.75 LTR,1958,Vodka,VODKA IMPORTD,3200,LUKSUSOWA POTATO,POLMOS LKS VK 80,269802,Non-Listed,6,Actual,31
LUKSUSOWA POTATO - VODKA IMPORTD - 750 ML,DEUTSCH FAM W&S  ( 1958 ),VODKA IMPORTD  ( 3200 ),POLMOS LKS VK 80  ( 269802 ),Spirit,750 ML,1958,Vodka,VODKA IMPORTD,3200,LUKSUSOWA POTATO,POLMOS LKS VK 80,269802,Non-Listed,12,Actual,2
LUKSUSOWA POTATO - VODKA IMPORTD - 750 ML,DEUTSCH FAM W&S  ( 1958 ),VODKA IMPORTD  ( 3200 ),POLMOS LKS VK 80  ( 269802 ),Spirit,750 ML,1958,Vodka,VODKA IMPORTD,3200,LUKSUSOWA POTATO,POLMOS LKS VK 80,269802,Non-Listed,12,Actual,6
LUNAZUL REPOSADO TEQUILA - IM TEQ GOLD - 1.0 LTR,HEAVEN HILL  ( 3210 ),IM TEQ GOLD  ( 7217 ),LUNAZUL REPOSADO  ( 1092800 ),Spirit,1.0 LTR,3210,Tequila,IM TEQ GOLD,7217,LUNAZUL REPOSADO TEQUILA,LUNAZUL REPOSADO,1092800,Non-Listed,12,Actual,1
LUNAZUL REPOSADO TEQUILA - IM TEQ GOLD - 750 ML,HEAVEN HILL  ( 3210 ),IM TEQ GOLD  ( 7217 ),LUNAZUL REPOSADO  ( 1092800 ),Spirit,750 ML,3210,Tequila,IM TEQ GOLD,7217,LUNAZUL REPOSADO TEQUILA,LUNAZUL REPOSADO,1092800,Non-Listed,12,Actual,1
LUNAZUL REPOSADO TEQUILA - IM TEQ GOLD - 750 ML,HEAVEN HILL  ( 3210 ),IM TEQ GOLD  ( 7217 ),LUNAZUL REPOSADO  ( 1092800 ),Spirit,750 ML,3210,Tequila,IM TEQ GOLD,7217,LUNAZUL REPOSADO TEQUILA,LUNAZUL REPOSADO,1092800,Non-Listed,12,Actual,12
LUXARDO AMARO ABANO BITTER - IM OTH SPCLTS - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM OTH SPCLTS  ( 7215 ),LUXARDO AMARETO  ( 743100 ),Spirit,750 ML,326,Cordials,IM OTH SPCLTS,7215,LUXARDO AMARO ABANO BITTER,LUXARDO AMARETO,743100,Non-Listed,12,Actual,2
LUXARDO AMARO ABANO BITTER - IM OTH SPCLTS - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM OTH SPCLTS  ( 7215 ),LUXARDO AMARETO  ( 743100 ),Spirit,750 ML,326,Cordials,IM OTH SPCLTS,7215,LUXARDO AMARO ABANO BITTER,LUXARDO AMARETO,743100,Non-Listed,12,Actual,11
LUXARDO CHERRY MORLACCO LIQUEUR - IM CHRY F CRD - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM CHRY F CRD  ( 7211 ),LUXARDO MOR CHRY  ( 751002 ),Spirit,750 ML,326,Cordials,IM CHRY F CRD,7211,LUXARDO CHERRY MORLACCO LIQUEUR,LUXARDO MOR CHRY,751002,Non-Listed,12,Actual,1
LUXARDO CHERRY MORLACCO LIQUEUR - IM CHRY F CRD - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM CHRY F CRD  ( 7211 ),LUXARDO MOR CHRY  ( 751002 ),Spirit,750 ML,326,Cordials,IM CHRY F CRD,7211,LUXARDO CHERRY MORLACCO LIQUEUR,LUXARDO MOR CHRY,751002,Non-Listed,12,Actual,2
LUXARDO FERNET AMARO BITTER - IM OTH SPCLTS - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM OTH SPCLTS  ( 7215 ),LUXARDO AMARO AB  ( 841700 ),Spirit,750 ML,326,Cordials,IM OTH SPCLTS,7215,LUXARDO FERNET AMARO BITTER,LUXARDO AMARO AB,841700,Non-Listed,12,Actual,5
LUXARDO FERNET AMARO BITTER - IM OTH SPCLTS - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM OTH SPCLTS  ( 7215 ),LUXARDO AMARO AB  ( 841700 ),Spirit,750 ML,326,Cordials,IM OTH SPCLTS,7215,LUXARDO FERNET AMARO BITTER,LUXARDO AMARO AB,841700,Non-Listed,12,Actual,12
LUXARDO MARASCHINO LIQUEUR - IM CHRY F CRD - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM CHRY F CRD  ( 7211 ),LUXARDO MARSCHNO  ( 751000 ),Spirit,750 ML,326,Cordials,IM CHRY F CRD,7211,LUXARDO MARASCHINO LIQUEUR,LUXARDO MARSCHNO,751000,Non-Listed,12,Actual,17
LUXARDO MARASCHINO LIQUEUR - IM CHRY F CRD - 750 ML,ANCHOR DISTLLNG  ( 326 ),IM CHRY F CRD  ( 7211 ),LUXARDO MARSCHNO  ( 751000 ),Spirit,750 ML,326,Cordials,IM CHRY F CRD,7211,LUXARDO MARASCHINO LIQUEUR,LUXARDO MARSCHNO,751000,Non-Listed,12,Actual,25
LYSHOLM LINIE AQUAVIT - IM OTH SPCLTS - 750 ML,KOBRAND CORP  ( 3880 ),IM OTH SPCLTS  ( 7215 ),LINIE AQUAVIT  ( 622800 ),Spirit,750 ML,3880,Cordials,IM OTH SPCLTS,7215,LYSHOLM LINIE AQUAVIT,LINIE AQUAVIT,622800,Non-Listed,12,Actual,5
LYSHOLM LINIE AQUAVIT - IM OTH SPCLTS - 750 ML,KOBRAND CORP  ( 3880 ),IM OTH SPCLTS  ( 7215 ),LINIE AQUAVIT  ( 622800 ),Spirit,750 ML,3880,Cordials,IM OTH SPCLTS,7215,LYSHOLM LINIE AQUAVIT,LINIE AQUAVIT,622800,Non-Listed,12,Actual,8
MACALLAN 12 YEAR - SCTCH BTL FGN - 1.75 LTR,MHW LIMITED  ( 4715 ),SCTCH BTL FGN  ( 1200 ),MAC SHRY OAK 12Y  ( 94100 ),Spirit,1.75 LTR,4715,Whiskey,SCTCH BTL FGN,1200,MACALLAN 12 YEAR,MAC SHRY OAK 12Y,94100,Non-Listed,6,Actual,26
MACALLAN 12 YEAR - SCTCH BTL FGN - 1.75 LTR,MHW LIMITED  ( 4715 ),SCTCH BTL FGN  ( 1200 ),MAC SHRY OAK 12Y  ( 94100 ),Spirit,1.75 LTR,4715,Whiskey,SCTCH BTL FGN,1200,MACALLAN 12 YEAR,MAC SHRY OAK 12Y,94100,Non-Listed,6,Actual,28
